Crop_ID,Growing_Season_Length
2019301,170.0
2019302,259.0
2019303,135.0
2019304,135.0
2019305,181.0
2019306,264.0
2019307,123.0
2019308,123.0
2019309,116.0
2019310,90.0
2019311,90.0
2019312,194.0
2019313,246.0
2019314,273.0
2019315,270.0
2019316,91.0
2019317,281.0
2019318,118.0
2019319,148.0
2019320,267.0
2019321,317.0
2019322,317.0
2019323,113.0
2019324,298.0
2019325,237.0
2019326,141.0
2019327,231.0
2019328,123.0
2019329,248.0
2019330,188.0
2019331,112.0
2019332,254.0
2019333,330.0
2019334,347.0
2019335,162.0
2020336,291.0
2020337,297.0
2020338,334.0
2020339,334.0
2020340,356.0
2020341,171.0
2020342,170.0
2020343,170.0
2020344,136.0
2020345,316.0
2020346,258.0
2020347,160.0
2020348,167.0
2020349,155.0
2020350,141.0
2020351,111.0
2020352,135.0
2020353,134.0
2020354,319.0
2020355,321.0
2020356,320.0
2020357,320.0
2020358,158.0
2020359,204.0
2020360,357.0
2020361,283.0
2020362,180.0
2020363,310.0
2020364,104.0
2020365,129.0
2020366,179.0
2020367,126.0
2020368,280.0
2020369,208.0
2020370,310.0
2021371,117.0
2021372,319.0
2021373,98.0
2021374,98.0
2021375,117.0
2021376,143.0
2021377,117.0
2021378,117.0
2021379,140.0
2021380,93.0
2021381,216.0
2021382,325.0
2021383,114.0
2021384,162.0
2021385,198.0
2021386,112.0
2021387,249.0
2021388,153.0
2021389,344.0
2021390,261.0
2021391,108.0
2021392,108.0
2021393,172.0
2021394,202.0
2021395,210.0
2021396,250.0
2021397,361.0
2021398,260.0
2021399,340.0
2021400,144.0
2021401,269.0
2021402,106.0
2021403,251.0
2021404,160.0
2021405,114.0
2022406,274.0
2022407,179.0
2022408,108.0
2022409,108.0
2022410,363.0
2022411,253.0
2022412,337.0
2022413,337.0
2022414,356.0
2022415,255.0
2022416,112.0
2022417,216.0
2022418,234.0
2022419,121.0
2022420,95.0
2022421,253.0
2022422,120.0
2022423,169.0
2022424,240.0
2022425,143.0
2022426,125.0
2022427,125.0
2022428,120.0
2022429,90.0
2022430,136.0
2022431,355.0
2022432,267.0
2022433,175.0
2022434,261.0
2022435,166.0
2022436,338.0
2022437,289.0
2022438,311.0
2022439,215.0
2022440,223.0
2023441,315.0
2023442,110.0
2023443,324.0
2023444,324.0
2023445,162.0
2023446,115.0
2023447,185.0
2023448,185.0
2023449,178.0
2023450,245.0
2023451,198.0
2023452,363.0
2023453,191.0
2023454,148.0
2023455,336.0
2023456,218.0
2023457,111.0
2023458,328.0
2023459,134.0
2023460,213.0
2023461,147.0
2023462,147.0
2023463,179.0
2023464,249.0
2023465,105.0
2023466,110.0
2023467,203.0
2023468,328.0
2023469,126.0
2023470,325.0
2023471,106.0
2023472,258.0
2023473,216.0
2023474,97.0
2023475,241.0
2024476,128.0
2024477,292.0
2024478,314.0
2024479,314.0
2024480,124.0
2024481,269.0
2024482,356.0
2024483,356.0
2024484,278.0
2024485,301.0
2024486,264.0
2024487,213.0
2024488,106.0
2024489,348.0
2024490,247.0
2024491,217.0
2024492,164.0
2024493,333.0
2024494,145.0
2024495,247.0
2024496,283.0
2024497,283.0
2024498,222.0
2024499,217.0
2024500,353.0
2024501,311.0
2024502,177.0
2024503,92.0
2024504,214.0
2024505,302.0
2024506,198.0
2024507,153.0
2024508,332.0
2024509,288.0
2024510,315.0
