production_id,crop_id,region_id,area_harvested,quantity,yield,time_id
20190164580,2019305,20190022019111,74,8689,117.42,201901
20190191985,2019306,20190022019111,51,1896,37.18,201901
20190105477,2019307,20190022019111,88,6622,75.25,201901
20190138544,2019308,20190022019111,22,2903,131.95,201901
20190180097,2019309,20190022019111,40,6517,162.93,201901
20190148103,2019310,20190022019111,51,1551,30.41,201901
20190125027,2019311,20190022019111,86,4973,57.83,201901
20190143088,2019312,20190022019111,75,5073,67.64,201901
20190177051,2019316,20190022019111,97,7989,82.36,201901
20190196297,2019317,20190022019111,84,4058,48.31,201901
20190187489,2019323,20190022019111,44,667,15.16,201901
20190166652,2019325,20190022019111,73,6753,92.51,201901
20190189906,2019326,20190022019111,65,7968,122.58,201901
20190183413,2019335,20190022019111,87,4232,48.64,201901
20190114953,2019328,20190022019111,25,7906,316.24,201901
20190154465,2019330,20190022019111,82,3759,45.84,201901
20190117151,2019332,20190022019111,38,5829,153.39,201901
20190166962,2019333,20190022019111,71,5967,84.04,201901
20190110574,2019305,20190022019112,60,9817,163.62,201901
20190181349,2019306,20190022019112,61,3642,59.7,201901
20190107360,2019307,20190022019112,88,3223,36.62,201901
20190139634,2019308,20190022019112,30,8491,283.03,201901
20190192918,2019309,20190022019112,42,5244,124.86,201901
20190140478,2019310,20190022019112,51,6735,132.06,201901
20190132738,2019311,20190022019112,22,3914,177.91,201901
20190113109,2019312,20190022019112,94,9181,97.67,201901
20190180695,2019316,20190022019112,28,7212,257.57,201901
20190147488,2019317,20190022019112,87,3322,38.18,201901
20190151819,2019323,20190022019112,29,3622,124.9,201901
20190153647,2019325,20190022019112,72,3595,49.93,201901
20190145781,2019326,20190022019112,29,9252,319.03,201901
20190161568,2019335,20190022019112,25,2460,98.4,201901
20190103856,2019328,20190022019112,25,9285,371.4,201901
20190106743,2019330,20190022019112,65,7689,118.29,201901
20190129734,2019332,20190022019112,78,8547,109.58,201901
20190145032,2019333,20190022019112,51,6069,119.0,201901
20190119464,2019301,20190022019113,91,1663,18.27,201901
20190173396,2019302,20190022019113,30,5220,174.0,201901
20190164340,2019305,20190022019113,85,5997,70.55,201901
20190174959,2019319,20190022019113,78,1977,25.35,201901
20190107948,2019331,20190022019113,32,3161,98.78,201901
20190175863,2019316,20190022019113,47,5860,124.68,201901
20190184727,2019311,20190022019113,25,8869,354.76,201901
20190141644,2019301,20190022019114,69,5067,73.43,201901
20190120767,2019302,20190022019114,83,1161,13.99,201901
20190186188,2019305,20190022019114,77,6084,79.01,201901
20190168814,2019319,20190022019114,96,1513,15.76,201901
20190144178,2019331,20190022019114,49,1275,26.02,201901
20190157590,2019316,20190022019114,99,5853,59.12,201901
20190150021,2019311,20190022019114,23,3882,168.78,201901
20190104939,2019301,20190012019115,73,8128,111.34,201901
20190137878,2019303,20190012019115,100,3815,38.15,201901
20190123998,2019304,20190012019115,20,2601,130.05,201901
20190148698,2019306,20190012019115,94,7912,84.17,201901
20190109347,2019307,20190012019115,29,5983,206.31,201901
20190161711,2019308,20190012019115,23,2665,115.87,201901
20190138837,2019309,20190012019115,85,5159,60.69,201901
20190165751,2019310,20190012019115,28,7940,283.57,201901
20190155001,2019311,20190012019115,98,5271,53.79,201901
20190106234,2019313,20190012019115,23,5046,219.39,201901
20190160976,2019315,20190012019115,43,2446,56.88,201901
20190113637,2019316,20190012019115,32,6390,199.69,201901
20190146498,2019318,20190012019115,78,542,6.95,201901
20190171377,2019319,20190012019115,97,7665,79.02,201901
20190188658,2019320,20190012019115,36,3821,106.14,201901
20190162558,2019323,20190012019115,23,2529,109.96,201901
20190173411,2019324,20190012019115,89,7258,81.55,201901
20190152305,2019325,20190012019115,97,4387,45.23,201901
20190155256,2019326,20190012019115,42,5732,136.48,201901
20190144909,2019327,20190012019115,84,9002,107.17,201901
20190138794,2019328,20190012019115,28,7660,273.57,201901
20190157468,2019329,20190012019115,28,942,33.64,201901
20190190714,2019330,20190012019115,57,561,9.84,201901
20190164821,2019331,20190012019115,65,3657,56.26,201901
20190133765,2019332,20190012019115,62,3593,57.95,201901
20190174240,2019333,20190012019115,25,306,12.24,201901
20190146377,2019334,20190012019115,82,5812,70.88,201901
20190112045,2019335,20190012019115,77,1637,21.26,201901
20190173511,2019304,20190012019116,56,5374,95.96,201901
20190196348,2019306,20190012019116,40,2884,72.1,201901
20190111330,2019301,20190012019116,56,8067,144.05,201901
20190150048,2019319,20190012019116,50,9287,185.74,201901
20190113256,2019320,20190012019116,92,3306,35.93,201901
20190197546,2019304,20190012019117,80,108,1.35,201901
20190147183,2019306,20190012019117,87,623,7.16,201901
20190198691,2019301,20190012019117,59,164,2.78,201901
20190104574,2019319,20190012019117,57,5841,102.47,201901
20190120421,2019320,20190012019117,91,6489,71.31,201901
20190103226,2019304,20190012019118,82,4055,49.45,201901
20190147367,2019306,20190012019118,28,3312,118.29,201901
20190128009,2019301,20190012019118,92,874,9.5,201901
20190119043,2019319,20190012019118,56,1071,19.12,201901
20190194279,2019320,20190012019118,42,9368,223.05,201901
20190122646,2019305,20190042019119,82,8252,100.63,201901
20190160723,2019314,20190042019119,52,1358,26.12,201901
20190121890,2019321,20190042019119,71,8597,121.08,201901
20190194272,2019322,20190042019119,69,4384,63.54,201901
20190197775,2019305,20190042019120,61,8194,134.33,201901
20190174403,2019314,20190042019120,72,2355,32.71,201901
20190133308,2019321,20190042019120,60,9344,155.73,201901
20190154240,2019322,20190042019120,62,3515,56.69,201901
20190185480,2019305,20190022019121,73,2344,32.11,201901
20190192230,2019314,20190022019121,68,5119,75.28,201901
20190175249,2019317,20190022019121,36,9803,272.31,201901
20190105930,2019321,20190022019121,24,4564,190.17,201901
20190194862,2019305,20190022019122,48,8717,181.6,201901
20190159361,2019314,20190022019122,55,1860,33.82,201901
20190145652,2019317,20190022019122,67,9593,143.18,201901
20190100754,2019321,20190022019122,67,6275,93.66,201901
20190123737,2019322,20190032019123,46,8197,178.2,201901
20190185174,2019321,20190032019123,52,1901,36.56,201901
20190128673,2019322,20190032019124,31,6064,195.61,201901
20190160124,2019321,20190032019124,21,2596,123.62,201901
20190131662,2019306,20190012019125,57,8475,148.68,201901
20190198467,2019304,20190012019125,32,2480,77.5,201901
20190114708,2019301,20190012019125,82,2859,34.87,201901
20190126974,2019319,20190012019125,44,1958,44.5,201901
20190166384,2019320,20190012019125,92,5745,62.45,201901
20190129778,2019306,20190012019126,67,6952,103.76,201901
20190160015,2019304,20190012019126,40,3868,96.7,201901
20190183816,2019301,20190012019126,75,6857,91.43,201901
20190140906,2019319,20190012019126,59,163,2.76,201901
20190137842,2019320,20190012019126,35,9201,262.89,201901
20190175416,2019302,20190012019127,67,3008,44.9,201901
20190188710,2019303,20190012019127,20,1195,59.75,201901
20190100936,2019304,20190012019127,100,1269,12.69,201901
20190116104,2019306,20190012019127,93,5909,63.54,201901
20190123587,2019313,20190012019127,52,2563,49.29,201901
20190153948,2019319,20190012019127,78,5353,68.63,201901
20190157508,2019320,20190012019127,62,2075,33.47,201901
20190151154,2019317,20190012019127,83,2243,27.02,201901
20190171055,2019318,20190012019127,95,6433,67.72,201901
20190180514,2019329,20190012019127,80,5440,68.0,201901
20190154839,2019331,20190012019127,94,832,8.85,201901
20190102811,2019332,20190012019127,57,1333,23.39,201901
20190154052,2019333,20190012019127,28,4018,143.5,201901
20190176579,2019327,20190012019127,35,408,11.66,201901
20190176931,2019309,20190012019127,38,8967,235.97,201901
20190154848,2019310,20190012019127,33,1489,45.12,201901
20190194736,2019302,20190012019128,51,5600,109.8,201901
20190131592,2019303,20190012019128,90,1189,13.21,201901
20190100287,2019304,20190012019128,95,2549,26.83,201901
20190102719,2019306,20190012019128,32,5103,159.47,201901
20190179809,2019313,20190012019128,63,8884,141.02,201901
20190144058,2019319,20190012019128,94,2233,23.76,201901
20190158702,2019320,20190012019128,69,4702,68.14,201901
20190178491,2019317,20190012019128,67,165,2.46,201901
20190100024,2019318,20190012019128,60,2331,38.85,201901
20190150717,2019329,20190012019128,65,768,11.82,201901
20190186480,2019331,20190012019128,65,2632,40.49,201901
20190136000,2019332,20190012019128,67,5773,86.16,201901
20190141403,2019333,20190012019128,68,706,10.38,201901
20190109431,2019327,20190012019128,67,8925,133.21,201901
20190106436,2019309,20190012019128,49,7741,157.98,201901
20190107081,2019310,20190012019128,24,5302,220.92,201901
20190185387,2019302,20190052019129,26,5839,224.58,201901
20190112430,2019312,20190052019129,70,6609,94.41,201901
20190152819,2019317,20190052019129,94,4047,43.05,201901
20190144067,2019322,20190052019129,44,7723,175.52,201901
20190160499,2019302,20190052019130,79,6250,79.11,201901
20190187392,2019312,20190052019130,54,8583,158.94,201901
20190183694,2019317,20190052019130,84,9572,113.95,201901
20190126405,2019322,20190052019130,28,3183,113.68,201901
20190274536,2019305,20190022019111,55,8619,156.71,201902
20190286494,2019306,20190022019111,42,235,5.6,201902
20190201998,2019307,20190022019111,65,226,3.48,201902
20190206865,2019308,20190022019111,66,8371,126.83,201902
20190245417,2019309,20190022019111,36,2772,77.0,201902
20190265190,2019310,20190022019111,40,8336,208.4,201902
20190297458,2019311,20190022019111,41,7235,176.46,201902
20190266300,2019312,20190022019111,44,3509,79.75,201902
20190278486,2019316,20190022019111,29,9453,325.97,201902
20190260358,2019317,20190022019111,57,9631,168.96,201902
20190272343,2019323,20190022019111,89,4782,53.73,201902
20190295288,2019325,20190022019111,98,2571,26.23,201902
20190206340,2019326,20190022019111,23,3041,132.22,201902
20190265471,2019335,20190022019111,83,1724,20.77,201902
20190293623,2019328,20190022019111,68,9907,145.69,201902
20190265488,2019330,20190022019111,57,6620,116.14,201902
20190288452,2019332,20190022019111,33,7007,212.33,201902
20190234851,2019333,20190022019111,53,6880,129.81,201902
20190245089,2019305,20190022019112,26,1956,75.23,201902
20190218014,2019306,20190022019112,61,2188,35.87,201902
20190204359,2019307,20190022019112,25,4627,185.08,201902
20190258984,2019308,20190022019112,94,2185,23.24,201902
20190224061,2019309,20190022019112,44,6985,158.75,201902
20190228125,2019310,20190022019112,100,885,8.85,201902
20190268693,2019311,20190022019112,83,5743,69.19,201902
20190295115,2019312,20190022019112,26,6311,242.73,201902
20190289963,2019316,20190022019112,80,8646,108.08,201902
20190293174,2019317,20190022019112,36,2814,78.17,201902
20190217644,2019323,20190022019112,44,2547,57.89,201902
20190295752,2019325,20190022019112,98,2562,26.14,201902
20190242510,2019326,20190022019112,51,3143,61.63,201902
20190211990,2019335,20190022019112,74,6500,87.84,201902
20190229929,2019328,20190022019112,34,7248,213.18,201902
20190291883,2019330,20190022019112,80,4450,55.62,201902
20190243841,2019332,20190022019112,71,571,8.04,201902
20190247579,2019333,20190022019112,44,2971,67.52,201902
20190237492,2019301,20190022019113,84,4639,55.23,201902
20190230131,2019302,20190022019113,29,5165,178.1,201902
20190290529,2019305,20190022019113,32,6562,205.06,201902
20190245207,2019319,20190022019113,51,5295,103.82,201902
20190219818,2019331,20190022019113,73,5477,75.03,201902
20190216145,2019316,20190022019113,100,4879,48.79,201902
20190295261,2019311,20190022019113,78,525,6.73,201902
20190274514,2019301,20190022019114,40,347,8.68,201902
20190219963,2019302,20190022019114,91,1400,15.38,201902
20190227068,2019305,20190022019114,76,8757,115.22,201902
20190226688,2019319,20190022019114,43,404,9.4,201902
20190251338,2019331,20190022019114,37,7468,201.84,201902
20190201596,2019316,20190022019114,92,8526,92.67,201902
20190269100,2019311,20190022019114,59,7742,131.22,201902
20190204838,2019301,20190012019115,46,223,4.85,201902
20190259147,2019303,20190012019115,77,3465,45.0,201902
20190229186,2019304,20190012019115,100,1669,16.69,201902
20190269335,2019306,20190012019115,22,7910,359.55,201902
20190225260,2019307,20190012019115,72,6527,90.65,201902
20190210744,2019308,20190012019115,91,9634,105.87,201902
20190273681,2019309,20190012019115,27,8708,322.52,201902
20190236782,2019310,20190012019115,35,3120,89.14,201902
20190268004,2019311,20190012019115,30,9120,304.0,201902
20190207159,2019313,20190012019115,40,1366,34.15,201902
20190233356,2019315,20190012019115,82,6020,73.41,201902
20190297382,2019316,20190012019115,91,8282,91.01,201902
20190244787,2019318,20190012019115,74,2185,29.53,201902
20190224441,2019319,20190012019115,51,9694,190.08,201902
20190261470,2019320,20190012019115,73,5962,81.67,201902
20190213427,2019323,20190012019115,59,6785,115.0,201902
20190228022,2019324,20190012019115,89,8502,95.53,201902
20190282379,2019325,20190012019115,79,780,9.87,201902
