Region_ID,Region_Name,Climate_ID,Soil_ID,Avg_annual_Rainfall,Altitude,Population
20190012019002,Littoral,2019001,2019002,2500,10,5100000
20190012019002,Southwest,2019001,2019002,2000,1000,2000000
20190012019003,South,2019001,2019003,900,700,3000000
20190012019003,East,2019001,2019003,1800,800,800000
20190012019004,South,2019001,2019004,900,700,3000000
20190012019004,Southwest,2019001,2019004,2000,1000,2000000
20190012019004,Littoral,2019001,2019004,2500,10,5100000
20190012019006,Littoral,2019001,2019006,2500,10,5100000
20190012019006,Southwest,2019001,2019006,2000,1000,2000000
20190022019001,North,2019002,2019001,1000,800,1500000
20190022019002,West,2019002,2019002,1000,800,1500000
20190022019003,Centre,2019002,2019003,1800,500,5000000
20190022019004,Centre,2019002,2019004,1800,500,5000000
20190022019005,West,2019002,2019005,1000,800,1500000
20190032019001,Farnorth,2019003,2019001,900,700,3000000
20190042019002,Adamawa,2019004,2019002,1300,1000,700000
20190052019002,Northwest,2019005,2019002,1500,1500,2000000
20190052019005,Northwest,2019005,2019005,1500,1500,2000000
20200012020002,Littoral,2020001,2020002,2500,10,5100000
20200012020002,Southwest,2020001,2020002,2000,1000,2000000
20200012020003,South,2020001,2020003,900,700,3000000
20200012020003,East,2020001,2020003,1800,800,800000
20200012020004,Southwest,2020001,2020004,2000,1000,2000000
20200012020004,South,2020001,2020004,900,700,3000000
20200012020004,Littoral,2020001,2020004,2500,10,5100000
20200012020006,Littoral,2020001,2020006,2500,10,5100000
20200012020006,Southwest,2020001,2020006,2000,1000,2000000
20200022020001,North,2020002,2020001,1000,800,1500000
20200022020002,West,2020002,2020002,1000,800,1500000
20200022020003,Centre,2020002,2020003,1800,500,5000000
20200022020004,Centre,2020002,2020004,1800,500,5000000
20200022020005,West,2020002,2020005,1000,800,1500000
20200032020001,Farnorth,2020003,2020001,900,700,3000000
20200042020002,Adamawa,2020004,2020002,1300,1000,700000
20200052020002,Northwest,2020005,2020002,1500,1500,2000000
20200052020005,Northwest,2020005,2020005,1500,1500,2000000
20210012021002,Littoral,2021001,2021002,2500,10,5100000
20210012021002,Southwest,2021001,2021002,2000,1000,2000000
20210012021003,East,2021001,2021003,1800,800,800000
20210012021003,South,2021001,2021003,900,700,3000000
20210012021004,South,2021001,2021004,900,700,3000000
20210012021004,Littoral,2021001,2021004,2500,10,5100000
20210012021004,Southwest,2021001,2021004,2000,1000,2000000
20210012021006,Littoral,2021001,2021006,2500,10,5100000
20210012021006,Southwest,2021001,2021006,2000,1000,2000000
20210022021001,North,2021002,2021001,1000,800,1500000
20210022021002,West,2021002,2021002,1000,800,1500000
20210022021003,Centre,2021002,2021003,1800,500,5000000
20210022021004,Centre,2021002,2021004,1800,500,5000000
20210022021005,West,2021002,2021005,1000,800,1500000
20210032021001,Farnorth,2021003,2021001,900,700,3000000
20210042021002,Adamawa,2021004,2021002,1300,1000,700000
20210052021002,Northwest,2021005,2021002,1500,1500,2000000
20210052021005,Northwest,2021005,2021005,1500,1500,2000000
20220012022002,Littoral,2022001,2022002,2500,10,5100000
20220012022002,Southwest,2022001,2022002,2000,1000,2000000
