Time_ID,Year,Month,Quarter,Season
201901,2019,1,Q1,Dry Season
201902,2019,2,Q1,Dry Season
201903,2019,3,Q1,Dry Season
201904,2019,4,Q2,Dry Season
201905,2019,5,Q2,Rainy Season
201906,2019,6,Q2,Rainy Season
201907,2019,7,Q3,Rainy Season
201908,2019,8,Q3,Rainy Season
201909,2019,9,Q3,Rainy Season
201910,2019,10,Q4,Rainy Season
201911,2019,11,Q4,Dry Season
201912,2019,12,Q4,Dry Season
202001,2020,1,Q1,Dry Season
202002,2020,2,Q1,Dry Season
202003,2020,3,Q1,Dry Season
202004,2020,4,Q2,Dry Season
202005,2020,5,Q2,Rainy Season
202006,2020,6,Q2,Rainy Season
202007,2020,7,Q3,Rainy Season
202008,2020,8,Q3,Rainy Season
202009,2020,9,Q3,Rainy Season
202010,2020,10,Q4,Rainy Season
202011,2020,11,Q4,Dry Season
202012,2020,12,Q4,Dry Season
202101,2021,1,Q1,Dry Season
202102,2021,2,Q1,Dry Season
202103,2021,3,Q1,Dry Season
202104,2021,4,Q2,Dry Season
202105,2021,5,Q2,Rainy Season
202106,2021,6,Q2,Rainy Season
202107,2021,7,Q3,Rainy Season
202108,2021,8,Q3,Rainy Season
202109,2021,9,Q3,Rainy Season
202110,2021,10,Q4,Rainy Season
202111,2021,11,Q4,Dry Season
202112,2021,12,Q4,Dry Season
202201,2022,1,Q1,Dry Season
202202,2022,2,Q1,Dry Season
202203,2022,3,Q1,Dry Season
202204,2022,4,Q2,Dry Season
202205,2022,5,Q2,Rainy Season
202206,2022,6,Q2,Rainy Season
202207,2022,7,Q3,Rainy Season
202208,2022,8,Q3,Rainy Season
202209,2022,9,Q3,Rainy Season
202210,2022,10,Q4,Rainy Season
202211,2022,11,Q4,Dry Season
202212,2022,12,Q4,Dry Season
202301,2023,1,Q1,Dry Season
202302,2023,2,Q1,Dry Season
202303,2023,3,Q1,Dry Season
202304,2023,4,Q2,Dry Season
202305,2023,5,Q2,Rainy Season
202306,2023,6,Q2,Rainy Season
202307,2023,7,Q3,Rainy Season
202308,2023,8,Q3,Rainy Season
202309,2023,9,Q3,Rainy Season
202310,2023,10,Q4,Rainy Season
202311,2023,11,Q4,Dry Season
202312,2023,12,Q4,Dry Season
202401,2024,1,Q1,Dry Season
202402,2024,2,Q1,Dry Season
202403,2024,3,Q1,Dry Season
202404,2024,4,Q2,Dry Season
202405,2024,5,Q2,Rainy Season
202406,2024,6,Q2,Rainy Season
202407,2024,7,Q3,Rainy Season
202408,2024,8,Q3,Rainy Season
202409,2024,9,Q3,Rainy Season
202410,2024,10,Q4,Rainy Season
202411,2024,11,Q4,Dry Season
202412,2024,12,Q4,Dry Season
